confidence,x,y,card
0.777,1488.52,509.11199999999997,5C
0.9265,2541.984,2274.552,5C
0.8511,2547.096,2274.3360000000002,5C
0.2654,2505.408,2744.928,5C
0.7665,2505.408,2744.928,5S
